id,category
S8770,0
S2423,4
S5149,0
S9160,0
S8569,0
S8269,0
S2314,5
S7159,0
S1145,0
S5512,0
S7011,0
S3280,0
S4210,0
S6490,0
S4081,5
S8320,3
S5380,0
S1740,0
S1245,0
S6099,0
S2146,0
S1938,0
S2028,0
S3134,0
S2924,5
S7073,0
S6223,0
S4067,0
S6423,0
S6216,0
S6177,3
S1484,0
S8257,0
S8657,0
S1009,0
S1064,0
S1029,0
S147,2
S997,0
S2932,5
S9201,0
S3914,5
S3051,0
S5102,5
S2711,0
S547,0
S8400,0
S1517,0
S7828,0
S2633,0
S6609,4
S3961,0
S348,0
S5009,0
S1419,5
S5555,0
S8734,5
S8262,0
S4575,4
S2684,0
S9202,0
S3839,0
S532,0
S5620,0
S6650,0
S1422,0
S4781,0
S6975,0
S5934,4
S2464,0
S7110,4
S4493,0
S6823,0
S7983,0
S5743,0
S4307,0
S2202,5
S3414,5
S8735,0
S5982,4
S5736,0
S8367,4
S7503,0
S1782,0
S768,0
S9222,0
S972,0
S121,0
S7966,0
S8092,0
S8444,0
S2147,0
S7872,0
S3531,0
S5103,0
S6770,0
S6377,0
S2937,0
S8173,0
S7973,0
S3138,3
S2626,0
S8481,0
S642,0
S1316,0
S6738,0
S9067,0
S186,0
S993,0
S9101,0
S2023,0
S1201,0
S9418,5
S2651,0
S283,0
S4261,0
S7552,0
S6202,0
S2448,0
S3021,0
S2716,0
S8751,0
S7211,0
S7468,0
S9237,0
S6443,0
S8051,0
S489,0
S1579,0
S8153,0
S7344,0
S8456,0
S9425,0
S2417,0
S6156,0
S6667,3
S5880,0
S4059,0
S2657,0
S5318,0
S7416,0
S5293,0
S1496,0
S5466,0
S2341,0
S6128,0
S4146,0
S4572,0
S7396,4
S3965,0
S8578,0
S4007,0
S511,0
S6035,0
S9191,0
S9032,0
S5370,0
S8811,0
S4254,0
S4038,0
S5534,0
S8761,4
S9146,0
S7774,0
S239,0
S4928,0
S7280,5
S6335,0
S1179,5
S4921,4
S5147,0
S8132,0
S362,0
S8384,5
S2208,4
S6761,0
S1573,0
S5471,0
S5660,0
S7169,0
S5213,0
S5498,0
S3582,0
S1299,5
S3324,0
S4538,0
S2846,0
S946,0
S2641,0
S7098,2
S4585,0
S9318,0
S258,0
S8307,0
S2866,0
S7839,0
S8895,4
S1431,5
S8149,0
S1279,0
S5129,0
S5935,3
S747,0
S6715,5
S7241,5
S125,0
S3947,0
S4875,4
S6310,0
S7950,1
S4194,0
S8677,0
S9294,0
S3925,0
S7786,0
S1242,0
S1449,5
S5024,0
S7988,0
S4641,0
S4048,0
S7559,0
S6882,0
S9311,4
S5100,0
S3344,3
S7809,0
S2832,4
S7927,1
S8639,0
S2636,0
S7611,0
S451,5
S274,3
S5584,0
S8063,0
S6245,0
S5482,2
S391,0
S9163,3
S5739,3
S3373,0
S8675,0
S5513,0
S1157,4
S7658,0
S2049,5
S4970,0
S4510,0
S7414,0
S6984,0
S7888,0
S8396,1
S3183,0
S614,0
S6508,0
S1040,0
S467,0
S5145,0
S2256,0
S3083,0
S2176,4
S3131,3
S2758,0
S5397,4
S6902,4
S7442,5
S8352,0
S3302,0
S5532,0
S5900,4
S7348,0
S4706,0
S6694,0
S8938,0
S5548,0
S6951,0
S7048,0
S4289,5
S1111,0
S7970,0
S9181,0
S8786,5
S969,0
S7092,0
S1505,0
S174,0
S9291,0
S4923,0
S3363,0
S1129,0
S5946,0
S7760,0
S8557,0
S6525,4
S7226,0
S1202,4
S3867,3
S7720,0
S5260,2
S4372,0
S3807,0
S3941,4
S1356,0
S4248,0
S2165,0
S659,0
S871,0
S28,0
S6497,1
S5258,0
S1684,0
S332,0
S1001,0
S7694,0
S4985,0
S293,0
S8429,0
S1622,0
S1059,0
S6272,4
S5940,2
S1837,4
S2338,0
S1251,0
S7727,0
S4318,0
S2158,0
S7117,5
S752,2
S6415,0
S5468,0
S4522,5
S5552,0
S3672,0
S1810,0
S3090,0
S2553,5
S4745,0
S7651,0
S7981,0
S8490,0
S6217,0
S7644,0
S4465,0
S5535,0
S2959,0
S363,0
S2485,5
S4320,0
S437,0
S3361,0
S9238,0
S2002,0
S577,0
S5130,0
S2157,0
S2655,0
S7339,3
S8605,0
S9232,3
S5583,0
S7558,0
S1666,3
S8902,4
S6279,4
S8285,0
S558,1
S6196,0
S2603,0
S1858,0
S2345,0
S4397,0
S3789,0
S2872,0
S3340,0
S2951,0
S3062,0
S3231,0
S816,5
S701,3
S957,3
S5540,0
S651,0
S1377,3
S8727,0
S8871,0
S6112,5
S6651,0
S3434,0
S6697,0
S8106,0
S6777,4
S8747,0
S507,0
S579,0
S6969,0
S7285,0
S2760,0
S8993,0
S1791,0
S328,0
S968,0
S7473,0
S717,0
S3297,0
S4408,0
S8093,0
S6070,0
S6730,0
S2639,1
S2055,0
S6521,0
S4358,0
S8763,0
S114,0
S9339,0
S5017,0
S7879,0
S9124,0
S744,0
S4700,0
S7860,0
S8084,0
S5993,3
S216,0
S4773,0
S8698,0
S7444,0
S8135,0
S6482,0
S3003,0
S2494,0
S9312,0
S9011,4
S8509,2
S1008,0
S2239,0
S4179,0
S5008,4
S8599,4
S1147,5
S9367,0
S3959,2
S7072,3
S3987,0
